sqrt(dd),g_t,g_mn,sqrt(p),yj(mn),cs(s),log(mn_s),yj(s_h),yj(cs),asinh(mcwf),asinh(m_l),yj(mcwd_t),yj(sczfr),yj(m_f),yj(h_e)
1.177932241,1,2,1.503074697,-0.8203160612,-0.1091972708,-0.05480438539,0.01630180396,-1.557950069,-0.7117053126,0.06825443393,-0.1613967131,-0.9483746862,0.005262240034,0.6946236727
1.290360128,1,2,1.680488586,-0.8380163501,1.53312567,-0.509822194,-0.3271758781,0.5193549098,-0.6611581418,0.1704137039,0.4415229213,0.1981972966,-0.02969113346,0.2564084596
1.824844822,1,2,1.227255375,-0.3396697268,1.350645343,-0.3318044953,-0.2393732388,0.5193549098,-0.629918458,0.1672423748,0.2780023848,0.2054999582,-0.02392710759,0.1684065204
1.665847783,1,2,1.789016709,-0.9730962361,-0.4741579242,0.01409596022,0.5632784819,-1.421733349,-0.5775932103,0.09069947358,-0.1262110982,-0.9067944165,-0.02892281241,0.6734094803
1.665847783,1,2,0.9702305978,-0.7939035207,-0.4741579242,0.03721351596,-0.2393732388,-0.02551196985,-0.5589785048,0.2397035973,0.05921306165,-0.1458080318,-0.02281908194,0.2321250269
1.393748239,1,2,2.49256734,-0.9457532378,1.898086323,-0.6854528149,-0.9733228674,-1.421733349,-0.5805021566,0.2615305297,-0.362272165,-0.9174053388,-0.04351958843,0.4962392101
1.177932241,1,2,1.372113206,-0.5472205869,0.4382437093,-0.1450758726,-0.5063531614,1.438817769,-0.6404359708,0.1988758621,0.3966781188,0.8805635108,-0.02207084437,-0.0458813363
1.290360128,1,2,0.8678006488,-0.8380163501,0.8032043627,-0.2900865715,-0.06757920993,1.03016761,-0.6125977146,0.1862443212,0.2632628591,0.5920354216,-0.007169200359,0.003996058315
1.747155897,1,2,1.439084465,-0.8203160612,-0.2916775976,-0.01044727746,1.321652074,-1.762275149,-0.6373641053,0.05220056224,-0.005428971153,-1.050263618,-0.001093171888,0.9252533568
1.489979546,1,2,1.988380893,-0.03272378116,-0.1091972708,0.05573459864,-0.6900195262,1.234492689,-0.5898599538,0.2209048289,0.4415229213,0.6689740836,-0.05805795056,0.04067784596
1.393748239,1,2,1.891327491,-0.9005440512,0.2557633826,-0.157635956,0.01630180396,0.3490840099,-0.5928814597,0.1735833364,0.2706299475,0.1161525254,-0.003473558167,0.2248118641
1.177932241,1,2,1.439084465,-0.7070632854,-0.6566382509,0.09206983794,0.7086106301,-0.02551196985,-0.5827469522,0.1830817644,0.02324231351,-0.1411997143,-0.01854397024,0.2074401178
1.580361965,1,2,1.503074697,-0.5803051255,1.168165016,-0.3361384385,0.1797086051,-0.2298370497,-0.6342869169,0.1799173954,-0.2103903065,-0.2563618669,-0.01101885075,0.1258490184
1.747155897,1,2,1.301700889,-1.019028776,1.168165016,-0.4372752987,1.056443475,-1.592004249,-0.564714824,0.1418142007,0.1315857012,-0.9838834121,-0.02206617771,0.9484214992
1.393748239,1,3,1.891327491,1.382434511,0.98568469,0.1013938186,-0.5976440806,1.234492689,-0.6123379423,0.2615305297,0.7219974187,0.6738193432,-0.05484519281,0.1820015949
1.971057688,1,2,1.147992294,-0.7156637584,1.53312567,-0.4760016569,-0.06757920993,1.132330149,-0.6062226947,0.2863267926,0.4116059921,0.5616241358,-0.07958186792,0.05335788111
1.665847783,1,2,1.372113206,-0.7156637584,0.6207240361,-0.2190455472,0.7086106301,1.200438509,-0.5870969565,0.205180028,0.4340360712,0.726310793,-0.003020347101,0.04703555156
1.580361965,1,3,1.062834353,1.173966955,-0.1091972708,0.2462213115,-0.2393732388,1.643142849,-0.6798855303,0.2646389674,0.3743248212,0.8850294087,-0.1172477471,-0.1169246762
1.971057688,1,2,2.080912653,-0.7676569277,-1.386559558,0.2677100198,0.3370611523,2.051793009,-0.6021781129,0.1830817644,1.087424035,0.8833543192,-0.3009146049,0.1210017124
1.971057688,1,2,1.301700889,-0.9276150983,0.4382437093,-0.2092533254,-0.06757920993,1.915576289,-0.6324894328,0.2397035973,0.822083946,0.8881015824,-0.2390802209,0.03205185677
1.580361965,1,2,1.503074697,-1.019028776,0.4382437093,-0.2252634265,1.190335127,-1.387679169,-0.605440562,0.100305498,-0.01972914175,-0.8896855298,-0.02820741972,0.7315598954
1.665847783,1,2,1.227255375,-0.882587681,0.8032043627,-0.2989145499,-0.1528235363,-0.1276745098,-0.5648480273,0.1799173954,0.1898891725,-0.2056936629,-0.02089860229,0.3482755236
1.971057688,1,2,0.8678006488,-1.019028776,-0.2916775976,-0.03752936708,-0.3271758781,1.472871949,-0.6011329162,0.1735833364,0.3892218724,0.8800055001,-0.03907098616,-0.05507659094
1.824844822,1,2,1.439084465,-0.7329205483,-0.6566382509,0.08891682335,0.09875510344,1.03016761,-0.5965532699,0.2924997186,0.5242095787,0.5089021446,-0.0648190576,0.1443458883
1.665847783,1,2,1.503074697,-0.891556754,0.07328305594,-0.1102685276,0.3370611523,0.9620592496,-0.6422254338,0.1577185008,0.6760679791,0.5566168938,0.003299524638,0.2400438055
1.665847783,1,2,1.147992294,-1.019028776,0.4382437093,-0.2252634265,-0.5063531614,1.609088669,-0.6480923393,0.1830817644,0.4640137765,1.026767707,-0.01473534402,-0.05958226954
