grade,grade,seq_no,dd,p,mn,s,mn_s,mn_s_t,l_temp,s_temp,super_heat,tt,f_temp,cs,mcwf,mould_level,mcwd_temp,new_var,sczfr,m_factor
1,980,S15,14,0.013,0.747,0.014,53.35714286,39.77262916,1508,1552,44,1552,1553,2.52,2242.8,58.99,7.53,28147140,240.41,237.89
1,909,S10,12,0.024,1.03,0.025,41.2,25.10710746,1506,1539,33,1539,1530,2.63,2242.66,59.06,7.15,25607254.68,249.2,246.57
1,980,S20,7,0.014,0.73,0.022,33.18181818,27.78715793,1508,NA,41,1549,1549,2.55,2244.89,58.92,7.64,28248639.34,243.71,241.16
1,980,S30,7,0.019,0.72,0.026,27.69230769,24.33786233,1508,1543,35,1543,1543,3.09,2244.84,58.94,7.63,23280952.31,279.2,276.11
1,909,M,8,0.025,0.73,0.013,56.15384615,42.18126779,1506,1573,67,1573,1573,2.28,2221.82,58.56,7.39,30245986.47,216.43,214.15
1,909,S5,7,0.02,1.04,0.024,43.33333333,25.93359266,1506,1546,40,1546,1550,2.99,2222.48,58.96,7.48,23351649.39,270.39,267.4
1,909,S10,9,0.013,1.04,0.017,61.17647059,34.09448306,1506,1556,50,1556,1557,3.12,2225.18,59.07,7.77,23274526.96,269.59,266.47
1,909,S15,5,0.024,1.033,0.017,60.76470588,34.09448306,1506,1562,56,1562,1695,3.19,2227.72,59.24,8.04,23581708.14,268.3,265.11
1,909,S20,10,0.017,1.132,0.027,41.92592593,23.61991192,1506,1550,44,1550,1534,2.88,2228.47,58.88,7.24,23528929.08,270.15,267.27
1,909,S25,8,0.022,1.064,0.02,53.2,29.96988564,1506,1561,55,1561,1561,2.78,2229.31,59.18,7.02,23643516.56,262.92,260.14
1,909,S30,10,0.017,1.025,0.017,60.29411765,34.09448306,1506,NA,45,1551,1551,2.76,2230.96,59.05,7.39,25088600.17,261.57,258.81
1,980,M,12,0.012,0.72,0.021,34.28571429,28.83191546,1508,1575,67,1575,1580,2.26,2226.94,58.74,7.71,31908305.79,214.67,212.41
1,909,S3,8,0.017,1.04,0.018,57.77777778,32.58285073,1506,1544,38,1544,1548,3.15,2223.94,58.97,8.23,24404034.93,271.73,268.58
1,909,M,16,0.017,1.05,0.019,55.26315789,31.21470086,1506,1574,68,1574,1574,2.27,2223.99,58.79,7.72,31766806.94,215.91,213.64
1,909,S5,7,0.015,1.18,0.026,45.38461538,24.33786233,1506,1550,44,1550,1550,3.11,2224.09,58.97,7.43,22316705,276.13,273.02
1,909,S10,14,0.015,1.057,0.032,33.03125,20.64126415,1506,1696,190,1696,1542,2.59,2226.87,59.06,6.89,24880758.32,246.51,243.92
1,909,S15,15,0.023,1.01,0.017,59.41176471,34.09448306,1506,1552,46,1552,1552,2.5,2228.2,59.06,7.35,27513813.6,236.76,234.26
1,909,M,15,0.019,1.03,0.026,39.61538462,24.33786233,1506,1573,67,1573,1571,2.25,2224.53,58.37,7.48,31060370.88,219.93,217.68
1,909,S5,9,0.011,1.066,0.024,44.41666667,25.93359266,1506,NA,23,1529,1529,3.09,2227.02,59.01,8.09,24488571.38,271.17,268.08
1,909,S10,16,0.024,1.14,0.019,60,31.21470086,1506,1558,52,1558,1558,3.11,2228.56,59.16,7.92,23836276.48,267.2,264.09
1,909,S15,12,0.022,1.035,0.019,54.47368421,31.21470086,1506,1552,46,1552,1552,3.2,2227.69,59.12,8.14,23800083.04,263.34,260.14
1,909,S34,18,0.022,1.07,0.026,41.15384615,24.33786233,1506,1558,52,1558,1549,3.04,2225.27,59.04,7.92,24349138.58,262.4,259.36
1,909,M,21,0.024,1.036,0.024,43.16666667,25.93359266,1506,1586,80,1586,1592,2.31,2223.05,58.58,7.64,30880185.45,220.02,217.71
1,909,S4,15,0.02,1.036,0.017,60.94117647,34.09448306,1506,1559,53,1559,1559,3,2226.58,58.75,8.32,25935203.84,259.71,256.71
1,909,S9,8,0.027,1.048,0.022,47.63636364,27.78715793,1506,1561,55,1561,1561,2.57,2224.34,59,7.74,28135737.25,243.87,241.3
1,909,S12,15,0.013,1.025,0.018,56.94444444,32.58285073,1506,1551,45,1551,1542,2.43,2225.69,59.07,7.66,29467036.49,229.98,227.55
1,980,S17,14,0.023,0.72,0.021,34.28571429,28.83191546,1508,1560,52,1560,1558,2.78,2220.26,58.85,7.91,26532905.65,259.85,257.07
1,980,S22,15,0.014,0.753,0.024,31.375,25.93359266,1508,1547,39,1547,1547,2.83,2230,58.98,7.57,25053222.61,257.66,254.83
1,980,S27,14,0.025,0.765,0.019,40.26315789,31.21470086,1508,1561,53,1561,1561,2.88,2228.64,58.61,8.23,26748323,263.6,260.72
1,980,S32,12,0.018,0.72,0.022,32.72727273,27.78715793,1508,1535,27,1535,1536,2.81,2226.4,59.08,7.42,24691647.54,260.92,258.11
1,909,S5,17,0.018,1.01,0.033,30.60606061,20.1434254,1506,1559,53,1559,1559,3.08,2231.77,59.14,8.2,24955246.36,264.9,261.82
1,980,S10,17,0.016,0.745,0.021,35.47619048,28.83191546,1508,1565,57,1565,1554,3.01,2233.22,58.94,8.08,25178257.12,261.76,258.75
1,980,S29,17,0.014,0.74,0.028,26.42857143,22.94811947,1508,1550,42,1550,1550,2.56,2235.06,65.91,7.45,27318370.08,243.2,240.64
1,976,M,7,0.021,0.982,0.027,36.37037037,23.61991192,1510,NA,57,1567,1567,2.22,2240.14,65.81,6.75,28607193.24,211.43,209.21
1,980,S5,12,0.023,0.747,0.029,25.75862069,22.31802259,1508,1554,46,1554,1554,2.81,2245,66.1,7.52,25233480.43,266.1,263.29
1,980,S10,12,0.015,0.734,0.03,24.46666667,21.72572514,1508,1543,35,1543,1547,2.71,2244.81,65.99,7.66,26649456.58,256.82,254.11
1,980,S20,13,0.04,0.718,0.022,32.63636364,27.78715793,1508,1553,45,1553,1553,2.68,2239.53,65.91,7.76,27235358.87,254.6,251.92
1,976,M,6,0.022,1.02,0.021,48.57142857,28.83191546,1510,1580,70,1580,1580,2.31,2240.97,65.34,6.84,27869517.82,220.71,218.4
1,909,S10,7,0.024,1.028,0.03,34.26666667,21.72572514,1506,1550,44,1550,1550,3.26,2236.01,65.89,8,23045992.64,284.34,281.08
1,909,M,6,0.018,1.015,0.024,42.29166667,25.93359266,1506,1578,72,1578,1578,3.19,2247.79,60.89,0.69,2042036.182,184.54,181.35
1,909,M,10,0.021,0.985,0.02,49.25,29.96988564,1506,1578,72,1578,1584,2.61,2239.39,65.8,7.83,28216314,248.41,245.8
1,909,S5,17,0.028,1.025,0.02,51.25,29.96988564,1506,NA,50,1556,1556,2.6,2240.97,66.09,7.66,27729418.02,245.7,243.1
1,909,S10,13,0.032,1.02,0.018,56.66666667,32.58285073,1506,NA,30,1536,1536,2.43,2241.36,66.09,7.57,29325843.56,230.21,227.78
1,909,S19,16,0.028,1.024,0.027,37.92592593,23.61991192,1506,1557,51,1557,1556,2.45,2237.13,65.91,7.48,28686398.4,234.12,231.67
1,909,S24,17,0.022,1.102,0.026,42.38461538,24.33786233,1506,1559,53,1559,1556,2.41,2239.39,65.98,7.39,28840741.42,229.64,227.23
1,909,S5,9,0.023,1.03,0.026,39.61538462,24.33786233,1506,1552,46,1552,1552,2.42,2238.82,65.96,5.31,20632299.02,228.91,226.49
1,980,M,6,0.02,0.76,0.023,33.04347826,26.82423957,1508,1587,79,1587,1587,2.26,2212.87,65.66,7.87,32364692.47,215.04,212.78
1,980,S05,8,0.02,0.785,0.019,41.31578947,31.21470086,1508,1569,61,1569,1569,2.66,2214.82,65.83,8.21,28711061.37,252.69,250.03
1,980,S10,12,0.014,0.785,0.025,31.4,25.10710746,1508,1527,19,1527,1527,2.64,2211.69,66.19,7.62,26811714.68,250.5,247.86
1,980,M,14,0.025,0.756,0.021,36,28.83191546,1508,1572,64,1572,1572,2.36,2213.92,65.48,7.65,30141207.46,226.33,223.97
1,980,S05,14,0.026,0.762,0.023,33.13043478,26.82423957,1508,1567,59,1567,1567,2.7,2215.53,65.96,8.08,27846750.4,256.97,254.27
1,980,S10,15,0.013,0.73,0.022,33.18181818,27.78715793,1508,1550,42,1550,1550,3.14,2213.67,66.19,7.69,22769781.42,278.18,275.04
1,980,S15,7,0.015,0.706,0.018,39.22222222,32.58285073,1508,NA,54,1562,1562,3.11,2220.61,65.87,7.64,22911554.24,284.53,281.42
1,980,S20,6,0.016,0.765,0.015,51,37.65403131,1508,NA,43,1551,1551,3.11,2213.17,65.87,8.09,24179771.79,281.27,278.16
1,980,S25,7,0.017,0.743,0.018,41.27777778,32.58285073,1508,NA,48,1556,1556,3.12,2216.14,66,8.17,24373278.19,282.3,279.18
1,980,S30,8,0.015,0.725,0.022,32.95454545,27.78715793,1508,1563,55,1563,1556,3.13,2216.16,66.1,7.96,23671137.74,279.54,276.41
1,980,M,12,0.013,0.74,0.019,38.94736842,31.21470086,1508,1695,187,1695,1582,2.33,2271.83,65.67,7.72,31614513.27,221.68,219.35
1,980,S08,17,0.015,0.75,0.025,30,25.10710746,1508,1566,58,1566,1566,2.94,2277.03,66.07,8.01,26055729,278.4,275.46
1,980,S14,10,0.021,0.762,0.023,33.13043478,26.82423957,1508,1552,44,1552,1552,2.76,2275.77,66.09,7.88,27289450.7,261.56,258.8
1,980,S10,15,0.015,0.723,0.034,21.26470588,19.67192734,1508,NA,51,1559,1559,2.86,2273.21,66,7.8,26038587.27,271.79,268.93
1,980,S11,5,0.023,0.74,0.027,27.40740741,23.61991192,1508,1547,39,1547,1543,2.85,2274.25,66,7.73,25907298.42,271.21,268.36
1,980,S20,7,0.024,0.722,0.03,24.06666667,21.72572514,1508,1551,43,1551,1551,3.13,2273.17,65.89,8.09,24676603.92,283.76,280.63
1,980,S30,13,0.014,0.707,0.02,35.35,29.96988564,1508,NA,32,1540,1540,3.02,2273.06,66.03,7.74,24467759.76,278.08,275.06
1,909,M,12,0.024,1.06,0.024,44.16666667,25.93359266,1506,1600,94,1600,1600,2.34,2281.08,65.74,7.86,32180774.77,223.5,221.16
1,909,S05,10,0.023,1.036,0.025,41.44,25.10710746,1506,NA,57,1563,1563,3.07,2280.16,65.94,7.97,24861913.95,280.64,277.57
1,980,S10,9,0.016,0.732,0.029,25.24137931,22.31802259,1508,1553,45,1553,1552,3.11,2273.17,66.12,7.24,22225901.4,279.22,276.11
1,909,S25,8,0.022,1.06,0.022,48.18181818,27.78715793,1506,NA,35,1541,1541,3.15,2278.76,59.98,7.76,23577570.13,284.77,281.62
1,980,S31,11,0.017,0.769,0.026,29.57692308,24.33786233,1508,1558,50,1558,1558,3.03,2279.8,60.02,7.78,24585724.36,284.82,281.79
1,980,S05,7,0.014,0.71,0.016,44.375,35.77449321,1508,1566,58,1566,1559,3.14,2278.32,59.93,8.26,25171808.1,285.54,282.4
1,909,S10,8,0.019,1.02,0.02,51,29.96988564,1506,1562,56,1562,1544,3.04,2281.89,59.98,8.22,25914463.93,284.71,281.67
1,909,S15,7,0.014,1.02,0.016,63.75,35.77449321,1506,NA,45,1551,1551,3.19,2280.69,59.98,7.75,23271617.4,282.2,279.01
1,909,S20,12,0.02,1.03,0.018,57.22222222,32.58285073,1506,1550,44,1550,1552,3.08,2281.86,59.97,7.89,24550739.18,283.33,280.25
1,909,S25,10,0.017,1.065,0.021,50.71428571,28.83191546,1506,1563,57,1563,1563,3.17,2276.84,60.26,8.4,25339720.88,282.84,279.67
1,909,M,12,0.028,1.07,0.015,71.33333333,37.65403131,1506,NA,82,1588,1588,2.3,2281.8,59.6,7.57,31542412.7,218.97,216.67
1,909,S05,8,0.021,1.05,0.025,42,25.10710746,1506,1553,47,1553,1553,3.16,2280.23,59.98,7.61,23063516.22,278.49,275.33
