grade,grade_s,seq_no,grade_mn,l_temp,dd,p,mn,s,mn_s,super_heat,tt,cs,mcwf,mould_level,mcwd_temp,sczfr,m_factor,heat_ext
F,980,S10,B,1.184268149,1.398225354,1.890949724,-0.8512297892,0.3125471872,-0.6659828365,-0.1492551191,-0.05545885189,0.2952436201,-0.6726508138,-0.01225896116,0.5057773362,-0.01225896116,-0.01225896116,0.1638232405
F,980,S15,B,1.184268149,1.181716159,1.438796991,-0.2600673503,-0.5106289695,0.1062636567,0.4664861886,0.5607732007,-0.0234534883,-0.6491116487,-0.2107462731,0.2017629307,-0.2107462731,-0.2107462731,0.1363323138
F,980,S20,B,1.184268149,1.585438488,1.502774448,-0.05305688599,1.207338727,-1.16532644,-0.0005329849869,0.09046418936,-0.1759898266,-0.7488202482,-0.2910707162,-0.06880932035,-0.2910707162,-0.2910707162,0.001598955566
F,980,M,B,1.184268149,1.752768171,1.301440841,-1.269289985,1.207338727,-1.462011569,0.6894534546,0.7701553609,-1.657667248,-0.6081957956,-0.8213630451,0.3344506171,-0.8213630451,-0.8213630451,1.228600112
F,980,S2,C,1.184268149,1.398225354,1.890949724,1.531424675,0.9883417018,0.1357943723,-0.7726672591,-0.681700344,1.208997433,-0.7050856059,0.4673777471,0.9037098657,0.4673777471,0.4673777471,0.0928727206
F,980,S5,B,1.184268149,1.97738915,1.14776293,-0.2755359255,1.628880614,-1.555094968,-0.2224775285,-0.1333741194,1.111825803,-0.6955501243,0.3873591716,0.6415633922,0.3873591716,0.3873591716,-0.1196736756
F,980,S20,B,1.184268149,1.67119889,1.371839102,-0.2755359255,0.6445126823,-0.8455010054,0.4664861886,0.5607732007,1.172715141,-0.6593443396,0.5366095926,0.6736535876,0.5366095926,0.5366095926,-0.1298795736
F,976,S25,C,1.22964243,1.585438488,1.062621986,1.34967272,0.01918863611,0.5846363504,-0.4069680298,-0.1333741194,1.799946921,-0.8523788999,0.7153738661,0.6043526853,0.7153738661,0.7153738661,-0.3429173457
F,980,S29,B,1.184268149,1.97738915,2.080497031,-0.4311171934,-1.251597506,0.6673140557,0.1497940956,0.2394468698,2.508633286,-0.6881021202,0.7126229629,1.127286145,0.7126229629,0.7126229629,-0.007461858708
F,980,S35,B,1.184268149,1.97738915,1.301440841,-0.9643058242,0.4778069945,-0.8281030145,-0.2224775285,-0.1333741194,2.310911149,-0.7474100598,0.7229669468,0.9647301466,0.7229669468,0.7229669468,-0.1524896343
F,980,M,B,1.184268149,1.585438488,1.502774448,-1.269289985,0.4778069945,-0.8822691056,0.7701553609,0.850847002,-1.123270662,-0.6938540197,-0.7723081182,0.1554560079,-0.7723081182,-0.7723081182,0.9009071711
F,980,S5,B,1.184268149,1.67119889,1.227010189,-0.7973281563,0.8057795411,-1.066023701,-0.3080729924,-0.2164717674,-0.1001016045,-0.6091579762,-0.2542828383,0.4006072127,-0.2542828383,-0.2542828383,0.346876877
F,980,S10,B,1.184268149,1.97738915,0.8676272047,-1.269289985,-0.1589634887,-0.3173078867,-0.5112362673,-0.3965678592,1.493781149,-0.6860774709,0.7081642058,0.6210717535,0.7081642058,0.7081642058,-0.2642044676
F,980,S15,B,1.184268149,1.830706637,1.438796991,-0.3072347697,-0.5106289695,0.09233744537,-0.07575626323,0.01812248062,1.020559214,-0.6793488335,0.3497084433,0.7601559262,0.3497084433,0.3497084433,0.02558606953
F,980,S25,B,1.184268149,1.67119889,1.502774448,-0.8277275861,0.1670652188,-0.5258687902,0.1497940956,0.2394468698,0.9604947065,-0.7672905569,0.3833407229,0.8736494927,0.3833407229,0.3833407229,0.1925243571
F,980,S34,B,1.184268149,1.67119889,1.14776293,-1.269289985,0.4778069945,-0.8822691056,-0.6897914849,-0.579900507,1.729183195,-0.7878424656,0.8945274271,0.7054273422,0.8945274271,0.8945274271,-0.2713862418
F,980,S9,B,1.184268149,1.67119889,0.8676272047,-0.02585265016,-0.5106289695,0.157344411,-0.1492551191,-0.05545885189,1.077857909,-0.7644320364,0.4605518883,0.9037098657,0.4605518883,0.4605518883,0.15842375
F,980,S14,B,1.184268149,1.294505161,1.14776293,-0.4311171934,-0.5106289695,0.06800797002,-0.5112362673,-0.3965678592,0.5313849758,-0.6573584567,0.07201516875,0.5623332225,0.07201516875,0.07201516875,0.10090513
F,980,S19,B,1.184268149,1.67119889,1.14776293,-0.5452469715,0.3125471872,-0.6217182443,-1.068850263,-0.9541736558,-0.5212841678,-0.7856635214,-0.5430838354,0.05439127281,-0.5430838354,-0.5430838354,0.4029183487
F,980,S24,B,1.184268149,1.585438488,0.4338135409,-0.411604428,0.4778069945,-0.7421350289,-0.9651546428,-0.8608403793,-0.6301464571,-0.5623332225,-0.6481250028,-0.1492551191,-0.6481250028,-0.6481250028,0.3271321511
F,980,S29,B,1.184268149,1.830706637,1.062621986,-0.1167217086,0.4778069945,-0.6689797448,-0.0005329849869,0.09046418936,-0.897314071,-0.6252786037,-0.7146856334,0.240269679,-0.7146856334,-0.7146856334,0.884237261
F,980,M,B,1.184268149,1.905459871,1.301440841,-1.196364555,0.4778069945,-0.8566019734,0.3403747726,0.4317021574,-0.711592764,-0.5480319019,-0.6679801089,0.240269679,-0.6679801089,-0.6679801089,0.7558936705
F,980,S10,B,1.184268149,1.294505161,0.8676272047,-0.8512297892,0.9883417018,-1.225770837,1.707031017,2.067376371,0.6908060492,-0.3925349659,0.1719314916,0.2838496259,0.1719314916,0.1719314916,-0.162202899
F,980,S15,B,1.184268149,1.905459871,1.564137239,-1.462787957,0.1670652188,-0.6265752452,-1.278890629,-1.180168426,0.6152649547,-0.4075470993,0.1632830791,0.04451894555,0.1632830791,0.1632830791,-0.2891250987
F,980,S20,B,1.184268149,1.585438488,1.438796991,-0.9643058242,0.4778069945,-0.8281030145,0.3403747726,0.4317021574,0.6908060492,-0.4769110359,0.2175631371,0.4006072127,0.2175631371,0.2175631371,-0.07842911981
F,980,S30,B,1.184268149,1.67119889,1.227010189,0.03065143418,0.8057795411,-0.8822691056,-2.78724935,-2.648710598,0.8397998365,-0.5561012923,0.03731760695,0.5689003438,0.03731760695,0.03731760695,-0.02825196084
F,980,M,B,1.184268149,1.752768171,1.564137239,-0.7136539186,-0.5106289695,0.02958498062,1.079288178,1.179633874,-0.711592764,-0.5154926522,-0.6491116487,0.08618364244,-0.6491116487,-0.6491116487,0.6396002961
F,980,S5,B,1.184268149,1.585438488,1.438796991,-1.511081863,0.4778069945,-0.9354351137,-0.5112362673,-0.3965678592,1.493781149,-0.5811621231,0.3925349659,0.4006072127,0.3925349659,0.3925349659,-0.375894224
F,980,S15,B,1.184268149,1.905459871,0.7513871885,-0.452861435,-1.251597506,0.6649851962,-0.5112362673,-0.3965678592,-0.4979186855,-0.5471031205,-0.4924960681,0.3727500698,-0.4924960681,-0.4924960681,0.6659828365
F,909,S10,C,1.140568197,1.752768171,1.623181925,0.5443196013,0.6445126823,0.04238499172,-1.544467924,-1.665082807,-0.240269679,-0.5495809227,-0.3497084433,0.05439127281,-0.3497084433,-0.3497084433,0.1946966321
F,980,S20,B,1.184268149,1.294505161,0.8676272047,-0.9643058242,0.1670652188,-0.545556199,-0.7726672591,-0.681700344,-0.4214863762,-0.4900906661,-0.4381465746,0.4798990585,-0.4381465746,-0.4381465746,0.6833823044
