grade,grade_s,seq_no,grade_mn,l_temp,dd,p,mn,s,mn_s,super_heat,tt,cs,mcwf,mould_level,mcwd_temp,sczfr,m_factor,heat_ext
F,980,S5,B,0.1691249884,0.9379957308,-0.826165996,-0.7257743037,0.8746250973,-0.8878054189,-0.2992549174,-0.3177630007,-0.05382305142,-0.5613937469,0.1524257209,0.4710113235,-0.09757907954,-0.09757907954,0.4476062213
F,980,S10,B,0.1691249884,2.055157851,-1.578943034,-0.8064061141,-0.1911047151,-0.4808108366,-0.3317519071,-0.3852213884,1.528448675,-0.6046974497,0.1458325879,0.573553888,0.7024454047,0.7024454047,0.1125886496
F,980,S15,B,0.1691249884,1.496576791,-0.2615832179,-0.6343915852,-0.5463479859,-0.1766335699,-0.2505094329,-0.2165754191,1.090799048,-0.5991860693,0.2711021151,0.6419155976,0.4507893513,0.4507893513,0.2782256509
F,980,S25,B,0.1691249884,0.9379957308,-0.07338895848,-0.7311497577,0.1641385557,-0.6196050092,-0.2017639484,-0.1153878376,1.023468337,-0.6547722769,0.1293497554,0.7178730528,0.4841237048,0.4841237048,0.3577107526
F,980,S34,B,0.1691249884,0.9379957308,-1.014360255,-0.8064061141,0.5193818265,-0.7966872289,-0.3642488967,-0.4526797762,1.663110098,-0.6620158054,0.1557222874,0.6115326155,0.7976864147,0.7976864147,0.1088463077
F,980,S9,B,0.1691249884,0.9379957308,-1.578943034,-0.5268825046,-0.5463479859,-0.1181379417,-0.2667579278,-0.250304613,1.15812976,-0.6527251928,0.1260531889,0.7406602893,0.556653397,0.556653397,0.3418389903
F,980,S14,B,0.1691249884,-0.1791663894,-1.014360255,-0.6558934013,-0.5463479859,-0.1883326954,-0.3317519071,-0.3852213884,0.6194840661,-0.5872185006,0.224950184,0.5393730331,0.2245919525,0.2245919525,0.3136714219
F,980,S19,B,0.1691249884,0.9379957308,-1.014360255,-0.6827706715,0.3417601911,-0.6753723824,-0.429242876,-0.5875965516,-0.6597994572,-0.6613859334,0.165611987,0.3152985404,-0.4213985136,-0.4213985136,0.4776782222
F,980,S24,B,0.1691249884,0.6587052008,-2.143525812,-0.6505179473,0.5193818265,-0.7330732334,-0.4129943812,-0.5538673577,-0.8281262366,-0.5412378416,0.2348398835,0.2127559759,-0.5400834646,-0.5400834646,0.4355637982
F,980,S29,B,0.1691249884,1.496576791,-1.202554515,-0.5698861369,0.5193818265,-0.7001694425,-0.2342609381,-0.1828462253,-1.164779795,-0.5700544874,0.191984519,0.3988517411,-0.6668272703,-0.6668272703,0.7587696602
F,980,M,B,0.1691249884,1.775867321,-0.6379717366,-0.7956552061,0.5193818265,-0.792300057,-0.153018464,-0.01420025597,-0.9627876601,-0.5313173569,0.1491291544,0.3988517411,-0.5732346623,-0.5732346623,0.6848340512
F,980,S10,B,0.1691249884,-0.1791663894,-1.578943034,-0.7365252118,1.052246733,-0.9468260078,2.056776833,4.572970109,0.7541454896,-0.4469145034,0.218357051,0.4178411049,0.3013342278,0.3013342278,0.1783059786
F,980,S15,B,0.1691249884,1.775867321,0.1148053009,-0.8601606544,0.1641385557,-0.6770370805,-0.4617398657,-0.6550549393,0.6868147778,-0.4547879039,0.1425360214,0.3115006676,0.2947406195,0.2947406195,0.09882641678
F,980,S20,B,0.1691249884,0.6587052008,-0.2615832179,-0.7526515738,0.5193818265,-0.7747513681,-0.153018464,-0.01420025597,0.7541454896,-0.4922652904,0.198577652,0.4710113235,0.3321044003,0.3321044003,0.2228487598
F,980,S30,B,0.1691249884,0.9379957308,-0.826165996,-0.4838788724,0.8746250973,-0.7966872289,-0.8029582571,-1.36336801,0.8888069131,-0.5358839292,0.2150604845,0.5431709059,0.1982175189,0.1982175189,0.2488578814
F,980,M,B,0.1691249884,1.217286261,0.1148053009,-0.7096479416,-0.5463479859,-0.2175805097,0.139454443,0.5929252335,-0.9627876601,-0.5128935997,0.04034245982,0.3304900314,-0.5402666204,-0.5402666204,0.6120686198
F,980,S5,B,0.1691249884,0.6587052008,-0.2615832179,-0.8816624705,0.5193818265,-0.8273974335,-0.3317519071,-0.3852213884,1.528448675,-0.5489537741,0.205170785,0.4710113235,0.4929151826,0.4929151826,0.03117183691
F,980,S15,B,0.1691249884,1.775867321,-1.767137293,-0.6612688553,-1.256834528,0.4329744412,-0.3317519071,-0.3852213884,-0.6261341013,-0.5306874849,0.1886879525,0.4596177052,-0.3820200191,-0.3820200191,0.6275790152
F,909,S10,C,0.1315265568,1.217286261,0.3029995603,0.8599846349,0.6970034619,-0.2070512967,-0.5104853502,-0.8237009086,-0.2558151867,-0.532892037,0.211763918,0.3152985404,-0.221026081,-0.221026081,0.3581803082
F,980,S20,B,0.1691249884,-0.1791663894,-1.578943034,-0.7526515738,0.1641385557,-0.629177021,-0.3804973916,-0.48640897,-0.5251380337,-0.4977766707,0.165611987,0.5013943056,-0.3215786089,-0.3215786089,0.6383447733
F,980,S30,B,0.1691249884,-0.1791663894,-0.6379717366,-0.8064061141,0.8746250973,-0.9181781491,-0.4779883605,-0.6887841332,1.292791184,-0.4985640108,0.17220512,0.4975964328,0.3284412845,0.3284412845,0.111435762
