grade,grade_s,seq_no,l_temp,dd,p,mn,s,mn_s,mn_s_t,super_heat,tt,cs,mcwf,mould_level,mcwd_temp,sczfr,m_factor,heat_ext
F,980,M,1508,12,0.019,0.72,0.028,25.71428571,22.94811947,62,1570,2.26,2240.86,58.76,7.48,214.98,107.49,31149937.06
F,980,S2,1508,8,0.029,1.146,0.027,42.44444444,23.61991192,41,1549,3.09,2237.24,59.14,8.27,292.1,146.05,25148315.26
F,980,S5,1508,15,0.017,0.754,0.03,25.13333333,21.72572514,47,1555,3.06,2237.71,59.22,7.86,287.89,143.945,24140942
F,980,S20,1508,11,0.02,0.754,0.025,30.16,25.10710746,57,1565,3.08,2239.17,58.96,7.89,294.04,147.02,24091433.59
F,976,S25,1510,10,0.016,1.087,0.021,51.76190476,28.83191546,45,1555,3.21,2231.94,59.15,7.81,299.8,149.9,22807506.5
F,980,S29,1508,15,0.033,0.748,0.014,53.42857143,39.77262916,52,1560,3.33,2238.02,58.89,8.74,299.74,149.87,24670642.09
F,980,S35,1508,15,0.019,0.73,0.024,30.41666667,25.93359266,47,1555,3.29,2235.68,59.07,8.4,299.91,149.955,23974100.43
F,980,M,1508,10,0.022,0.72,0.024,30,25.93359266,64,1572,2.32,2237.77,58.63,7.27,220.43,110.215,29451753.96
F,980,S5,1508,11,0.018,0.735,0.026,28.26923077,24.33786233,46,1554,2.69,2240.85,58.88,7.56,255.94,127.97,26450360.3
F,980,S10,1508,15,0.014,0.72,0.02,36,29.96988564,44,1552,3.16,2238.1,58.86,7.83,299.62,149.81,23291821.71
F,980,S15,1508,13,0.021,0.752,0.018,41.77777778,32.58285073,49,1557,3.03,2238.45,59.24,8.01,285.88,142.94,24853443.86
F,980,S25,1508,11,0.022,0.734,0.022,33.36363636,27.78715793,52,1560,3.01,2234.92,58.81,8.21,287.7,143.85,25602827.72
F,980,S34,1508,11,0.017,0.72,0.024,30,25.93359266,42,1550,3.2,2234.46,58.89,7.93,304.82,152.41,23256538.99
F,980,S9,1508,11,0.014,0.772,0.018,42.88888889,32.58285073,48,1556,3.05,2235.05,58.8,8.27,291.66,145.83,25453189.08
F,980,S14,1508,7,0.017,0.748,0.018,41.55555556,32.58285073,44,1552,2.89,2239.21,59.1,7.74,273.53,136.765,25187625.84
F,980,S19,1508,11,0.017,0.743,0.023,32.30434783,26.82423957,38,1546,2.51,2234.5,58.92,7.15,238.26,119.13,26733878.49
F,980,S24,1508,10,0.011,0.749,0.024,31.20833333,25.93359266,39,1547,2.46,2242.13,59.13,6.88,231.78,115.89,26336824.59
F,980,S29,1508,13,0.016,0.764,0.024,31.83333333,25.93359266,50,1558,2.36,2240.3,59,7.37,224.86,112.43,29384002.63
F,980,M,1508,14,0.019,0.722,0.024,30.08333333,25.93359266,55,1563,2.42,2242.76,58.87,7.37,229.97,114.985,28686939.27
F,980,S10,1508,7,0.014,0.733,0.027,27.14814815,23.61991192,191,1699,2.93,2248.12,59.08,7.42,277.72,138.86,23911403.3
F,980,S15,1508,14,0.023,0.71,0.022,32.27272727,27.78715793,36,1544,2.91,2247.62,58.85,7.14,277.36,138.68,23162071.67
F,980,S20,1508,10,0.021,0.73,0.024,30.41666667,25.93359266,55,1563,2.93,2245.24,59.02,7.56,279.4,139.7,24331351.7
F,980,S30,1508,11,0.018,0.78,0.026,30,24.33786233,15,1523,2.97,2242.47,59.07,7.75,272.09,136.045,24576565.15
F,980,M,1508,12,0.023,0.738,0.018,41,32.58285073,73,1581,2.42,2243.93,58.54,7.19,231.77,115.885,28000908.32
F,980,S5,1508,10,0.021,0.706,0.024,29.41666667,25.93359266,44,1552,3.16,2241.64,59.04,7.56,288.18,144.09,22524225.72
F,980,S15,1508,14,0.013,0.747,0.014,53.35714286,39.77262916,44,1552,2.52,2242.8,58.99,7.53,240.41,120.205,28147140
F,909,S10,1506,12,0.024,1.03,0.025,41.2,25.10710746,33,1539,2.63,2242.66,59.06,7.15,249.2,124.6,25607254.68
F,980,S20,1508,7,0.014,0.73,0.022,33.18181818,27.78715793,41,1549,2.55,2244.89,58.92,7.64,243.71,121.855,28248639.34
F,980,S30,1508,7,0.019,0.72,0.026,27.69230769,24.33786233,35,1543,3.09,2244.84,58.94,7.63,279.2,139.6,23280952.31
F,909,M,1506,8,0.025,0.73,0.013,56.15384615,42.18126779,67,1573,2.28,2221.82,58.56,7.39,216.43,108.215,30245986.47
F,909,S5,1506,7,0.02,1.04,0.024,43.33333333,25.93359266,40,1546,2.99,2222.48,58.96,7.48,270.39,135.195,23351649.39
F,909,S10,1506,9,0.013,1.04,0.017,61.17647059,34.09448306,50,1556,3.12,2225.18,59.07,7.77,269.59,134.795,23274526.96
F,909,S15,1506,5,0.024,1.033,0.017,60.76470588,34.09448306,56,1562,3.19,2227.72,59.24,8.04,268.3,134.15,23581708.14
F,909,S20,1506,10,0.017,1.132,0.027,41.92592593,23.61991192,44,1550,2.88,2228.47,58.88,7.24,270.15,135.075,23528929.08
F,909,S25,1506,8,0.022,1.064,0.02,53.2,29.96988564,55,1561,2.78,2229.31,59.18,7.02,262.92,131.46,23643516.56
F,909,S30,1506,10,0.017,1.025,0.017,60.29411765,34.09448306,45,1551,2.76,2230.96,59.05,7.39,261.57,130.785,25088600.17
F,980,M,1508,12,0.012,0.72,0.021,34.28571429,28.83191546,67,1575,2.26,2226.94,58.74,7.71,214.67,107.335,31908305.79
